"zip","population","freq","per_year","one_in_every_per_year","per_100000_per_year","zip_vs_state"
61472,648,56,3.73333333333333,173.571428571429,576.131687242798,1.10358684058466
61473,1667,168,11.2,148.839285714286,671.865626874625,1.28696629759843
61474,292,34,2.26666666666667,128.823529411765,776.255707762557,1.48692669225546
61475,205,27,1.8,113.888888888889,878.048780487805,1.68191248805481
61476,407,45,3,135.666666666667,737.100737100737,1.41192489783471
61477,631,65,4.33333333333333,145.615384615385,686.740623349181,1.31545952358575
61478,290,36,2.4,120.833333333333,827.586206896552,1.58525085081029
61479,165,16,1.06666666666667,154.6875,646.464646464647,1.23831042891578
61480,1324,119,7.93333333333333,166.890756302521,599.194360523666,1.14776365520021
61482,650,59,3.93333333333333,165.254237288136,605.128205128205,1.15913000245145
61483,1961,249,16.6,118.132530120482,846.506884242733,1.62149362480892
61484,825,90,6,137.5,727.272727272727,1.39309923253025
61485,560,56,3.73333333333333,150,666.666666666667,1.2770076298194
61486,1552,152,10.1333333333333,153.157894736842,652.920962199313,1.25067757559632
61488,1120,104,6.93333333333333,161.538461538462,619.047619047619,1.18579279911801
61489,900,85,5.66666666666667,158.823529411765,629.62962962963,1.2060627614961
61490,1091,117,7.8,139.871794871795,714.940421631531,1.36947655993464
61491,2197,208,13.8666666666667,158.4375,631.163708086785,1.20900130633789
61501,1921,185,12.3333333333333,155.756756756757,642.026722193302,1.22980953418318
61516,720,64,4.26666666666667,168.75,592.592592592593,1.1351178931728
61517,3259,296,19.7333333333333,165.152027027027,605.502710442876,1.15984737166782
61519,233,17,1.13333333333333,205.588235294118,486.409155937053,0.931722305018444
61520,17839,1751,116.733333333333,152.818389491719,654.371508118915,1.25345611290642
61523,11204,1094,72.9333333333333,153.619744058501,650.957991193621,1.24691748216924
61524,262,26,1.73333333333333,151.153846153846,661.577608142494,1.26725947997345
61525,9021,551,36.7333333333333,245.580762250454,407.198019436131,0.779992466500928
61526,1088,101,6.73333333333333,161.584158415842,618.872549019608,1.18545745047573
61528,2668,172,11.4666666666667,232.674418604651,429.785107446277,0.823258292087467
61529,2880,260,17.3333333333333,166.153846153846,601.851851851852,1.15285411025362
61530,6713,579,38.6,173.911917098446,575.003724117384,1.1014262143087
61531,3379,372,24.8,136.25,733.94495412844,1.4058799594342
61532,534,72,4.8,111.25,898.876404494382,1.72180804020593
61533,2427,215,14.3333333333333,169.325581395349,590.578217277847,1.13125933420342
61534,1737,157,10.4666666666667,165.955414012739,602.571483400499,1.15423257272104
61535,1629,145,9.66666666666667,168.51724137931,593.41109064866,1.13668573556668
61536,2919,307,20.4666666666667,142.622149837134,701.153363023867,1.34306729138251
61537,2974,329,21.9333333333333,135.592705167173,737.502802062318,1.41269505787015
61539,205,18,1.2,170.833333333333,585.365853658537,1.12127499203654
61540,2916,335,22.3333333333333,130.567164179104,765.88934613626,1.46706980792009
61541,136,7,0.466666666666667,291.428571428571,343.137254901961,0.65728333887763
61542,3794,426,28.4,133.591549295775,748.550342646284,1.43385674829484
61543,151,18,1.2,125.833333333333,794.701986754967,1.52226075077809
61544,713,83,5.53333333333333,128.855421686747,776.06358111267,1.48655867145876
61545,646,46,3.06666666666667,210.652173913043,474.716202270382,0.909324318447248
61546,4276,447,29.8,143.489932885906,696.913002806361,1.3349448328561
61547,3779,303,20.2,187.079207920792,534.532945223604,1.02390397416056
61548,12085,928,61.8666666666667,195.339439655172,511.929389049786,0.980606603618039
61550,17721,1844,122.933333333333,144.151301518438,693.71555405075,1.3288200831708
61552,239,29,1.93333333333333,123.620689655172,808.926080892608,1.54950716588964
61553,213,20,1.33333333333333,159.75,625.978090766823,1.19906819701352
61554,43810,4188,279.2,156.912607449857,637.29742068021,1.22075050300927
61559,3332,309,20.6,161.747572815534,618.247298919568,1.18425977675328
61560,754,116,7.73333333333333,97.5,1025.64102564103,1.96462712279907
61561,2788,273,18.2,153.186813186813,652.797704447633,1.25044147396232
61562,46,22,1.46666666666667,31.3636363636364,3188.40579710145,6.10742779478842
61563,526,97,6.46666666666667,81.340206185567,1229.40430925222,2.35493802457189
61564,1077,72,4.8,224.375,445.682451253482,0.853709836090961
61565,1504,158,10.5333333333333,142.784810126582,700.354609929078,1.34153727068793
61567,624,96,6.4,97.5,1025.64102564103,1.96462712279907
61568,4459,370,24.6666666666667,180.77027027027,553.188308290349,1.05963853562049
61569,1220,151,10.0666666666667,121.192052980132,825.136612021858,1.58055862379286
61570,1879,158,10.5333333333333,178.386075949367,560.581869788895,1.07380098728826
61571,23744,2056,137.066666666667,173.229571984436,577.268643306379,1.10576469293661
61572,1068,135,9,118.666666666667,842.696629213483,1.61419503769306
61602,1055,88,5.86666666666667,179.829545454545,556.08214849921,1.06518171965978
61603,17600,1258,83.8666666666667,209.856915739269,476.515151515152,0.912770226314091
61604,31647,2997,199.8,158.393393393393,631.339463456252,1.20933796775958
61605,16303,1484,98.9333333333333,164.787735849057,606.841276656648,1.16241141056982
61606,8051,329,21.9333333333333,367.066869300912,272.429925889124,0.521842640927315
61607,10941,1183,78.8666666666667,138.727810650888,720.83599914694,1.38076960613869
61610,5476,523,34.8666666666667,157.055449330784,636.717798879961,1.21964023081728
61611,25268,2709,180.6,139.911406423034,714.738008548362,1.36908883535727
61614,27628,2894,192.933333333333,143.199723565999,698.325370397182,1.33765023914049
61615,22432,1948,129.866666666667,172.731006160164,578.934854969092,1.10895634044587
61616,6116,691,46.0666666666667,132.764109985528,753.215609330717,1.44279312002159
61625,385,NA,NA,NA,NA,NA
61701,36105,2877,191.8,188.242961418144,531.228361722753,1.01757400664462
61704,35981,2256,150.4,239.235372340426,417.998388038131,0.800680696165353
61705,12263,730,48.6666666666667,251.979452054795,396.857756394574,0.760185574303318
61720,236,33,2.2,107.272727272727,932.203389830509,1.7856462620356
61721,613,59,3.93333333333333,155.847457627119,641.653072321914,1.22909380357821
61722,549,30,2,274.5,364.298724954463,0.69781837695049
61723,2321,226,15.0666666666667,154.048672566372,649.145483268706,1.24344560249541
61724,536,58,3.86666666666667,138.620689655172,721.393034825871,1.38183661435681
61725,1547,129,8.6,179.883720930233,555.914673561732,1.06486091950034
61726,2544,254,16.9333333333333,150.236220472441,665.618448637317,1.2749997561876
61727,10015,1027,68.4666666666667,146.275559883155,683.641204859378,1.30952255199653
61728,1410,142,9.46666666666667,148.943661971831,671.394799054373,1.28606442152024
61729,1073,70,4.66666666666667,229.928571428571,434.917676296987,0.833089786461862
61730,379,39,2.6,145.769230769231,686.015831134565,1.3140711758036
61731,280,37,2.46666666666667,113.513513513514,880.952380952381,1.68747436797563
61732,2096,193,12.8666666666667,162.901554404145,613.867684478372,1.17587057516767
61733,1124,92,6.13333333333333,183.260869565217,545.670225385528,1.04523756177388
61734,2867,275,18.3333333333333,156.381818181818,639.460527845599,1.22489395954075
61735,420,42,2.8,150,666.666666666667,1.2770076298194
61736,1808,126,8.4,215.238095238095,464.601769911504,0.88995000750688
61737,516,37,2.46666666666667,209.189189189189,478.036175710594,0.915683765568172
61738,4212,365,24.3333333333333,173.095890410959,577.714466603355,1.10661867256429
61739,4897,500,33.3333333333333,146.91,680.688857123409,1.30386729611946
61740,1634,200,13.3333333333333,122.55,815.993472052224,1.56304483454026
61741,1746,149,9.93333333333333,175.771812080537,568.919434898816,1.08977168867749
61742,1144,80,5.33333333333333,214.5,466.200466200466,0.893012328545032
61743,212,18,1.2,176.666666666667,566.037735849057,1.08425176116741
61744,2031,153,10.2,199.117647058824,502.215657311669,0.961999839302647
61745,4408,336,22.4,196.785714285714,508.166969147005,0.973399645234386
61747,1560,157,10.4666666666667,149.044585987261,670.940170940171,1.28519357616439
61748,2782,242,16.1333333333333,172.438016528926,579.918523843757,1.11084056943312
61749,556,70,4.66666666666667,119.142857142857,839.328537170264,1.60774341883737
61750,133,10,0.666666666666667,199.5,501.25313283208,0.960156112646163
61751,124,15,1,124,806.451612903226,1.54476729413637
61752,4339,359,23.9333333333333,181.295264623955,551.586387032342,1.05657003711722
61753,3012,265,17.6666666666667,170.490566037736,586.542718016822,1.12352928918373
61754,1261,98,6.53333333333333,193.010204081633,518.107322231034,0.99244050533149
61755,4669,311,20.7333333333333,225.192926045016,444.063682444492,0.850609065910971
61756,2337,224,14.9333333333333,156.495535714286,638.995863642847,1.22400388994243
61759,1534,169,11.2666666666667,136.153846153846,734.463276836158,1.40687281251289
61760,2544,268,17.8666666666667,142.388059701493,702.30607966457,1.34527533330031
61761,52879,2489,165.933333333333,318.676175170751,313.798168144884,0.601083982416551
61764,14460,1384,92.2666666666667,156.719653179191,638.082065467958,1.22225349908025
61769,619,57,3.8,162.894736842105,613.89337641357,1.17591978836358
61770,1108,116,7.73333333333333,143.275862068966,697.954271961492,1.3369393958398
61771,860,75,5,172,581.395348837209,1.11366944460994
61772,351,39,2.6,135,740.740740740741,1.418897366466
61773,477,52,3.46666666666667,137.596153846154,726.764500349406,1.39212571804211
61774,962,82,5.46666666666667,175.975609756098,568.260568260568,1.08850962209138
61775,307,16,1.06666666666667,287.8125,347.448425624321,0.665541435736493
61776,1409,144,9.6,146.770833333333,681.334279630944,1.30510361031933
61777,952,106,7.06666666666667,134.716981132075,742.296918767507,1.4218782432863
61778,683,75,5,136.6,732.064421669107,1.40227777798616
61801,30937,1293,86.2,358.897911832947,278.63076574975,0.533720420647277
61802,19052,1473,98.2,194.012219959267,515.431450766324,0.987314842916214
61810,361,27,1.8,200.555555555556,498.614958448753,0.955102659421709
61811,703,41,2.73333333333333,257.19512195122,388.809862494073,0.744769741430942
61812,375,34,2.26666666666667,165.441176470588,604.444444444444,1.15782025103625
61813,1971,208,13.8666666666667,142.139423076923,703.534584813124,1.34762854897227
61814,1157,123,8.2,141.09756097561,708.729472774417,1.35757941631621
61815,228,37,2.46666666666667,92.4324324324324,1081.87134502924,2.07233694312797
61816,509,45,3,169.666666666667,589.390962671906,1.12898513441793
61817,2583,266,17.7333333333333,145.657894736842,686.540198735321,1.31507560794409
61818,1665,165,11,151.363636363636,660.660660660661,1.26550305657778
61820,36964,1091,72.7333333333333,508.212648945921,196.768026548353,0.376911406810129
61821,30174,2296,153.066666666667,197.129790940767,507.279998232474,0.971700642296459
61822,21608,1355,90.3333333333333,239.20295202952,418.055041342713,0.800789216218661
61830,478,58,3.86666666666667,123.620689655172,808.926080892608,1.54950716588964
